seq,len,probability,valid
RRRRRRRRRRRRRR,14,0.9999991655349731,True
YYFFLGLFFRFFNF,14,4.387895387480967e-05,False
RPVPPLVVPRPRLL,14,0.972913920879364,True
RPRLPLLRLRKRRR,14,0.9996991157531738,True
RRRRLRRRRRRKRR,14,0.9999949932098389,True
RLLRLLRRRRRRRR,14,0.9999088048934937,True
VRPRRVSPPRRVVP,14,0.9983077049255371,True
LRKLRRLLRRKRRR,14,0.9999904632568359,True
RRRRRRRLRRRRRR,14,0.999987006187439,True
RRRRRRRRRRRRKR,14,0.9999996423721313,True
LLLKLLLRLRRKRL,14,0.9988930821418762,True
YPFRPGGNRLFNNF,14,0.04970820993185043,False
RLKRRLRRRRRRLR,14,0.9999841451644897,True
RRRRRRRRRKRRRR,14,0.9999996423721313,True
YPPYPGFFEFRPNF,14,0.9337217211723328,True
RLRLRRRRRRRRRR,14,0.999948263168335,True
RRLRRLRRRRRRRR,14,0.9999755620956421,True
RRRRRRRRRRRKRR,14,0.9999996423721313,True
RRVRLPPVPPPPRR,14,0.9999575614929199,True
RRRLLRRRRRRRKK,14,0.999990701675415,True
RKRRRRRRRRRRRR,14,0.9999995231628418,True
VPVPPPGLRRRRRR,14,0.999825656414032,True
RRLRLLRRRRRRKL,14,0.9999769926071167,True
YFGFGSGLFFLNFF,14,1.2349592907412443e-05,False
VPRRPPPRPRPRPK,14,0.9999964237213135,True
RRRLLRRRRRRRLR,14,0.9999632835388184,True
RRLRLLRRRRRRKR,14,0.9999821186065674,True
RKRRRRRRRRRRRK,14,0.9999997615814209,True
PPVRSPKVVPRVRR,14,0.09929037094116211,False
RKLRLRRRLRRRKK,14,0.9999881982803345,True
RGFYGGFFRRGNFR,14,0.753491997718811,False
LRRRLRLRRRKRRR,14,0.9999805688858032,True
RRPRPPRLKRPVRP,14,0.9999984502792358,True
YLLPLLLRRPPRLL,14,0.995101809501648,True
RRLRRRRRRRRRRR,14,0.999985933303833,True
RLLRRRRRRRRRRR,14,0.9999741315841675,True
RRKPLLLRLLPRLL,14,0.9990849494934082,True
RLRRRRRRRRRRRR,14,0.9999805688858032,True
RRRLLRRRRRRRRR,14,0.9999772310256958,True
YGGLGFLNELFNFG,14,3.803550862357952e-05,False
