seq,len,probability,valid
YGFFYF,6,0.6395032405853271,False
YGGFFG,6,0.9979217648506165,True
YGGFFL,6,0.953177273273468,True
VGYFFK,6,2.977101394208148e-05,False
YYGFLF,6,0.002436240203678608,False
YGFFLF,6,0.9500586986541748,True
YGFYLG,6,0.6250109076499939,False
YVYVPP,6,0.058232713490724564,False
YGGFFF,6,0.9953118562698364,True
YYGFFF,6,0.9841449856758118,True
YGFVLL,6,0.8279088735580444,True
VYVLPV,6,0.9963443875312805,True
VYWPPV,6,0.9999973773956299,True
LRRIKL,6,0.9989272952079773,True
YGFFFG,6,0.9967013001441956,True
YYFFGF,6,0.01373834628611803,False
RRPRLR,6,0.9999110698699951,True
FYFGGF,6,0.03125683590769768,False
YFGFLL,6,0.10830720514059067,False
YGFILF,6,0.5984671711921692,False
GGFFFL,6,0.0007484179805032909,False
YGFGFF,6,0.673705518245697,False
VLGFLF,6,0.004329923074692488,False
YVVVSS,6,0.002465718425810337,False
YYGFGL,6,0.16066451370716095,False
YGFGFG,6,0.2744908332824707,False
YGGFGF,6,0.9244046807289124,True
YGFPPL,6,8.444779814453796e-05,False
YGFGFL,6,0.011327534914016724,False
YFGLGL,6,1.0683928849175572e-05,False
GYFFGF,6,0.003227366367354989,False
YGFFLL,6,0.8932024240493774,True
YGGGFL,6,0.509557843208313,False
YGYFLK,6,0.24463273584842682,False
YVVKWF,6,0.09899485111236572,False
YGFYFF,6,0.21139760315418243,False
YFGLFL,6,2.5456665753154084e-05,False
YFGGFF,6,0.5999255776405334,False
YGFFFL,6,0.8493164777755737,True
FYFFGG,6,0.030309924855828285,False
YGFFGG,6,0.9992074370384216,True
VYFFGP,6,6.225136530702002e-06,False
YRLFLL,6,0.9931273460388184,True
VVVIYK,6,0.9619585871696472,True
YFFGFF,6,0.8195571303367615,True
YFGFGL,6,0.002035015495494008,False
YGFFGF,6,0.9935643076896667,True
VVVVKV,6,0.11490369588136673,False
LLRLRL,6,0.7561509609222412,False
YYGGFL,6,0.9376958012580872,True
VVPPPP,6,0.9998630285263062,True
GYFFGL,6,5.9357116697356105e-05,False
RRYRRR,6,0.9999972581863403,True
YGGGFF,6,0.8885707259178162,True
YFGFFG,6,0.30332645773887634,False
YGRFFS,6,0.9954702854156494,True
YVVIKK,6,0.28420019149780273,False
YGFFFF,6,0.9988561868667603,True
GGYFFG,6,7.734668906778097e-05,False
YGGFGL,6,0.3891066312789917,False
YYFGFF,6,0.004802848678082228,False
YGFGYF,6,0.0037731972988694906,False
YFGGFL,6,0.19148960709571838,False
YGFGGL,6,0.11132004857063293,False
YGFYGF,6,0.988389253616333,True
YPGFPF,6,0.9849116802215576,True
RRRRRR,6,0.9999977350234985,True
YGGYFG,6,0.04335891827940941,False
GGFFYF,6,0.0013194329803809524,False
VYWVPP,6,0.9997373223304749,True
YGFGKL,6,0.9192673563957214,True
YGGFKF,6,0.9993122816085815,True
YGYFFS,6,0.2725253105163574,False
YFGFFL,6,0.3591291606426239,False
VVVPPL,6,0.9921610951423645,True
YGFGLL,6,0.013025724329054356,False
YGLGLL,6,0.0018860641866922379,False
YFFFGF,6,0.9265652894973755,True
YGGFLL,6,0.986477255821228,True
YYFGPF,6,3.9029225717968075e-07,False
LCFGLL,6,0.013767717406153679,False
YFGYFF,6,0.03189544752240181,False
FGFYGF,6,0.21272774040699005,False
YFFGYL,6,0.0012312991311773658,False
VKIILP,6,0.6154110431671143,False
GYFFFF,6,0.09256891161203384,False
YRFGFS,6,0.9993035793304443,True
YYFFLL,6,0.00015120362513698637,False
YFGFLF,6,0.007963648065924644,False
YGGYFF,6,0.008011800236999989,False
GGFFYL,6,0.0003134753496851772,False
VVPVVP,6,0.9854004979133606,True
YGFFKF,6,0.9993249177932739,True
YFGFFF,6,0.8726127743721008,True
FYGFGF,6,0.6839276552200317,False
YGGFLF,6,0.8270639181137085,True
